564,308
568.09,315.163
572.424,322.864
576.943,330.971
581.592,339.352
586.312,347.875
591.048,356.408
595.742,364.819
600.336,372.976
604.774,380.747
609,388
613.155,394.863
617.376,401.544
621.602,408.031
625.768,414.312
629.813,420.375
633.672,426.208
637.284,431.799
640.584,437.136
643.51,442.207
646,447
648.1,451.322
649.904,455.08
651.413,458.407
652.632,461.44
653.562,464.312
654.208,467.16
654.572,470.118
654.656,473.32
654.464,476.902
654,481
653.112,485.626
651.712,490.648
649.9,495.982
647.776,501.544
645.438,507.25
642.984,513.016
640.515,518.758
638.128,524.392
635.923,529.834
634,535
632.325,539.996
630.776,544.968
629.321,549.892
627.928,554.744
626.562,559.5
625.192,564.136
623.784,568.628
622.304,572.952
620.721,577.084
619,581
617.314,584.765
615.792,588.44
614.338,591.995
612.856,595.4
611.25,598.625
609.424,601.64
607.282,604.415
604.728,606.92
601.666,609.125
598,611
593.729,612.471
588.952,613.528
583.723,614.237
578.096,614.664
572.125,614.875
565.864,614.936
559.367,614.913
552.688,614.872
545.881,614.879
539,615
531.856,615.162
524.288,615.256
516.392,615.294
508.264,615.288
500,615.25
491.696,615.192
483.448,615.126
475.352,615.064
467.504,615.018
460,615
452.832,614.996
445.896,614.984
439.144,614.969
432.528,614.952
426,614.938
419.512,614.928
413.016,614.927
406.464,614.936
399.808,614.96
393,615
386.053,615.073
379.024,615.184
371.931,615.321
364.792,615.472
357.625,615.625
350.448,615.768
343.279,615.889
336.136,615.976
329.037,616.017
322,616
314.942,615.957
307.8,615.92
300.617,615.872
293.44,615.8
286.312,615.688
279.28,615.52
272.387,615.283
265.68,614.96
259.202,614.538
253,614
246.936,613.454
240.888,612.976
234.922,612.501
229.104,611.968
223.5,611.312
218.176,610.472
213.198,609.383
208.632,607.984
204.544,606.21
201,604
197.981,601.229
195.408,597.896
193.257,594.116
191.504,590.008
190.125,585.687
189.096,581.271
188.393,576.878
187.992,572.623
187.869,568.625
188,565
188.545,561.731
189.616,558.688
191.122,555.817
192.968,553.064
195.063,550.375
197.312,547.696
199.624,544.973
201.904,542.152
204.061,539.179
206,535.999
207.953,532.646
210.144,529.191
212.471,525.645
214.832,522.015
217.125,518.312
219.248,514.543
221.099,510.719
222.576,506.847
223.577,502.938
224,498.999
223.979,494.984
223.696,490.855
223.116,486.641
222.208,482.367
220.937,478.061
219.272,473.751
217.178,469.463
214.623,465.223
211.575,461.06
207.999,456.999
203.559,453.118
198.102,449.431
191.872,445.872
185.11,442.375
178.061,438.874
170.966,435.303
164.07,431.596
157.614,427.687
151.843,423.51
146.999,418.999
142.712,414.11
138.527,408.886
134.553,403.395
130.903,397.702
127.687,391.873
125.015,385.974
123,380.071
121.752,374.23
121.382,368.517
122,362.998
123.822,357.461
126.849,351.718
130.878,345.876
135.706,340.038
141.127,334.311
146.938,328.798
152.935,323.606
158.914,318.838
164.671,314.601
170.002,310.999
175.117,307.971
180.346,305.375
185.66,303.193
191.034,301.407
196.44,300
201.85,298.952
207.239,298.246
212.578,297.864
217.842,297.788
223.002,298
228.186,298.425
233.49,299.04
238.847,299.905
244.186,301.081
249.44,302.626
254.538,304.601
259.413,307.066
263.994,310.081
268.213,313.707
272.002,318.002
275.29,323.219
278.113,329.435
280.554,336.449
282.697,344.06
284.626,352.066
286.425,360.268
288.178,368.463
289.969,376.452
291.882,384.032
294.001,391.003
296.171,397.551
298.217,403.987
300.197,410.299
302.169,416.475
304.189,422.503
306.313,428.371
308.6,434.067
311.105,439.579
313.887,444.895
317.002,450.003
320.352,454.98
323.826,459.883
327.455,464.665
331.274,469.282
335.315,473.69
339.61,477.842
344.194,481.695
349.099,485.202
354.358,488.319
360.003,491.001
366.225,493.367
373.092,495.529
380.461,497.433
388.188,499.025
396.13,500.251
404.141,501.056
412.078,501.388
419.796,501.192
427.153,500.413
434.004,498.999
440.635,496.75
447.356,493.614
454.055,489.751
460.62,485.325
466.941,480.497
472.908,475.429
478.408,470.283
483.331,465.221
487.566,460.405
491.002,455.997
493.655,451.786
495.649,447.485
497.035,443.147
497.864,438.821
498.188,434.56
498.056,430.413
497.52,426.433
496.631,422.67
495.441,419.174
493.999,415.998
492.133,413.161
489.694,410.622
486.769,408.34
483.446,406.271
479.81,404.374
475.949,402.607
471.951,400.928
467.901,399.295
463.888,397.666
459.997,395.999
455.973,394.478
451.581,393.247
446.945,392.209
442.189,391.263
437.434,390.312
432.805,389.255
428.423,387.994
424.413,386.431
420.897,384.465
417.998,381.998
415.631,379.023
413.623,375.637
411.96,371.902
410.631,367.877
409.624,363.622
408.928,359.197
408.529,354.661
408.416,350.076
408.577,345.501
409,340.997
409.898,336.408
411.401,331.588
413.374,326.607
415.682,321.532
418.19,316.433
420.762,311.38
423.264,306.441
425.562,301.684
427.519,297.18
429.001,292.997
430.197,289.212
431.353,285.797
432.416,282.662
433.337,279.718
434.063,276.873
434.544,274.038
434.73,271.122
434.568,268.037
434.008,264.692
432.999,260.997
431.286,256.946
428.782,252.628
425.683,248.099
422.189,243.412
418.497,238.621
414.805,233.78
411.312,228.943
408.214,224.165
405.71,219.498
403.999,214.997
402.919,210.504
402.176,205.877
401.766,201.189
401.688,196.517
401.938,191.935
402.512,187.517
403.409,183.34
404.625,179.478
406.156,176.006
408.001,172.999
410.233,170.317
412.897,167.807
415.946,165.518
419.33,163.503
423.002,161.812
426.914,160.496
431.018,159.605
435.266,159.192
439.61,159.307
444.002,160
448.635,161.325
453.666,163.257
458.993,165.732
464.514,168.689
470.127,172.064
475.73,175.793
481.22,179.815
486.497,184.065
491.458,188.482
496.001,193.001
500.13,197.793
503.953,203.017
507.524,208.595
510.897,214.449
514.125,220.501
517.264,226.673
520.367,232.887
523.488,239.065
526.681,245.129
530,251
533.351,256.637
536.624,262.096
539.854,267.449
543.072,272.768
